model_id,metric,estimate,ci_lower,ci_upper,scenario_count,bootstrap_iterations
qwen35_4b,distinct_2,0.9637675738494623,0.9616733491394228,0.9657389657021707,320,10000
qwen35_4b,distinct_3,0.9941281934469872,0.993136251273308,0.9949672499062262,320,10000
qwen35_4b,truncated,0.0001488095238095238,0.0,0.0004464285714285714,320,10000
qwen35_4b,format_anomaly,0.0,0.0,0.0,320,10000
qwen35_9b,content_coverage_rate,0.9940972222222222,0.9911083209325396,0.9966269841269841,320,10000
qwen35_9b,added_key_information,0.006994047619047619,0.0047619047619047615,0.009523809523809525,320,10000
qwen35_9b,task_result_changed_by_addition,0.004166666666666667,0.0023809523809523807,0.00625,320,10000
qwen35_9b,factual_contradiction,0.0002976190476190476,0.0,0.0008928571428571428,320,10000
qwen35_9b,content_preservation_pass,0.9772321428571429,0.9675558035714285,0.9854166666666668,320,10000
qwen35_9b,naturalness,4.381398809523809,4.35,4.412202380952381,320,10000
qwen35_9b,style_scalar_absolute_error,0.23304811507936507,0.22613089037698417,0.23968036954365082,320,10000
qwen35_9b,repetition_rate,0.19911268148541447,0.19543831321967423,0.20292373495051083,320,10000
qwen35_9b,distinct_2,0.9683411849886611,0.9665053884597903,0.9700863665957132,320,10000
qwen35_9b,distinct_3,0.9957025617009416,0.9949904959632134,0.996332148089926,320,10000
qwen35_9b,truncated,0.0001488095238095238,0.0,0.0004464285714285714,320,10000
qwen35_9b,format_anomaly,0.0,0.0,0.0,320,10000
qwen36_27b,content_coverage_rate,0.9878100198412698,0.9846478174603174,0.9907242063492063,320,10000
qwen36_27b,added_key_information,0.005357142857142857,0.0032738095238095235,0.00788690476190476,320,10000
qwen36_27b,task_result_changed_by_addition,0.004315476190476191,0.0023809523809523803,0.00669642857142857,320,10000
qwen36_27b,factual_contradiction,0.0013392857142857143,0.0005952380952380952,0.002232142857142857,320,10000
qwen36_27b,content_preservation_pass,0.9678571428571429,0.9592261904761903,0.9754464285714283,320,10000
qwen36_27b,naturalness,4.218005952380952,4.183031994047618,4.25342261904762,320,10000
qwen36_27b,style_scalar_absolute_error,0.22858482142857142,0.22322512400793654,0.23394197668650793,320,10000
qwen36_27b,repetition_rate,0.20505741836730804,0.2013321329349496,0.20889969590034319,320,10000
qwen36_27b,distinct_2,0.968402109336753,0.9667742766937005,0.969947443343476,320,10000
qwen36_27b,distinct_3,0.9957761026760504,0.9951934635660744,0.9962883003100443,320,10000
qwen36_27b,truncated,0.006994047619047619,0.004315476190476191,0.009821428571428573,320,10000
qwen36_27b,format_anomaly,0.0,0.0,0.0,320,10000
qwen36_35b_a3b,content_coverage_rate,0.995300099206349,0.9931423611111111,0.9971478174603174,320,10000
qwen36_35b_a3b,added_key_information,0.007738095238095238,0.00505952380952381,0.010714285714285714,320,10000
qwen36_35b_a3b,task_result_changed_by_addition,0.003422619047619047,0.0019345238095238096,0.005059523809523811,320,10000
qwen36_35b_a3b,factual_contradiction,0.000744047619047619,0.0001488095238095238,0.001488095238095238,320,10000
qwen36_35b_a3b,content_preservation_pass,0.9816964285714287,0.9744047619047619,0.9880952380952381,320,10000
qwen36_35b_a3b,naturalness,4.285416666666666,4.252529761904762,4.31875,320,10000
qwen36_35b_a3b,style_scalar_absolute_error,0.22235119047619048,0.2164283854166667,0.2284798487103175,320,10000
qwen36_35b_a3b,repetition_rate,0.22873332450559952,0.2248857413979806,0.232636357633858,320,10000
qwen36_35b_a3b,distinct_2,0.9619852872828277,0.9602150469451037,0.9636420767404464,320,10000
qwen36_35b_a3b,distinct_3,0.9947635307225784,0.9940819830752959,0.9953485351348073,320,10000
qwen36_35b_a3b,truncated,0.0,0.0,0.0,320,10000
qwen36_35b_a3b,format_anomaly,0.0,0.0,0.0,320,10000
