scope,style_axis,metric,effect,estimate,ci_lower,ci_upper,paired_effect_size_dz,scenario_count
qwen36_35b_a3b,humor_neutral,style_scalar_mae,temperature_low_minus_high,-0.005555555555555559,-0.04544444444444445,0.027444444444444445,-0.11718973523813005,5
qwen35_4b,objectivity_cat,style_scalar_mae,temperature_low_minus_high,0.006444444444444443,-0.010111111111111109,0.019999999999999997,0.339230595219665,5
qwen35_9b,objectivity_cat,style_scalar_mae,temperature_low_minus_high,0.03355555555555556,-0.0004444444444444293,0.06177777777777778,0.8287747714927267,5
qwen36_27b,objectivity_cat,style_scalar_mae,temperature_low_minus_high,-0.006244444444444439,-0.05588888888888888,0.04328888888888889,-0.09755750689482502,5
qwen36_35b_a3b,objectivity_cat,style_scalar_mae,temperature_low_minus_high,0.0019999999999999974,-0.03422222222222222,0.03233333333333333,0.04837206847694596,5
qwen35_4b,politeness_refusal,style_scalar_mae,temperature_low_minus_high,-0.008000000000000018,-0.03766666666666667,0.019111111111111072,-0.22063168790131588,5
qwen35_9b,politeness_refusal,style_scalar_mae,temperature_low_minus_high,0.00377777777777778,-0.03344444444444443,0.03366666666666666,0.09176880047011372,5
qwen36_27b,politeness_refusal,style_scalar_mae,temperature_low_minus_high,0.004488888888888891,-0.031866666666666654,0.04084444444444444,0.09605585273974823,5
qwen36_35b_a3b,politeness_refusal,style_scalar_mae,temperature_low_minus_high,-0.012555555555555573,-0.041888888888888906,0.004222222222222188,-0.3847233488828198,5
all_models,all,style_scalar_mae,prompt_temperature_interaction,0.008080555555555554,-0.0038764583333333377,0.019925104166666662,0.17973030743667492,40
qwen35_4b,all,style_scalar_mae,prompt_temperature_interaction,0.014861111111111113,-0.006611111111111112,0.03636180555555555,0.19189896335750953,40
qwen35_9b,all,style_scalar_mae,prompt_temperature_interaction,0.011305555555555551,-0.004583333333333337,0.028277777777777773,0.18622039016948042,40
qwen36_27b,all,style_scalar_mae,prompt_temperature_interaction,0.019961111111111107,-0.01037861111111111,0.049578749999999984,0.16998039925723285,40
qwen36_35b_a3b,all,style_scalar_mae,prompt_temperature_interaction,-0.013805555555555554,-0.03014027777777778,0.0029173611111110967,-0.22206775244917715,40
qwen35_4b,concision_detail,style_scalar_mae,prompt_temperature_interaction,0.018000000000000016,-0.023777777777777776,0.0766666666666667,0.27333452066007613,5
qwen35_9b,concision_detail,style_scalar_mae,prompt_temperature_interaction,0.011333333333333341,-0.01844444444444443,0.04177777777777776,0.27646439102770193,5
qwen36_27b,concision_detail,style_scalar_mae,prompt_temperature_interaction,-0.010355555555555562,-0.10871111111111112,0.088,-0.08252988328137692,5
qwen36_35b_a3b,concision_detail,style_scalar_mae,prompt_temperature_interaction,-0.041555555555555554,-0.0711111111111111,-0.010222222222222223,-1.0589760570594402,5
qwen35_4b,emotion_apology,style_scalar_mae,prompt_temperature_interaction,0.018444444444444437,-0.05644444444444445,0.0982222222222222,0.1847320292301,5
qwen35_9b,emotion_apology,style_scalar_mae,prompt_temperature_interaction,0.04644444444444444,0.0031111111111111044,0.10200000000000001,0.7055216590224431,5
qwen36_27b,emotion_apology,style_scalar_mae,prompt_temperature_interaction,0.17782222222222224,0.09564444444444448,0.26,1.623863177300389,5
qwen36_35b_a3b,emotion_apology,style_scalar_mae,prompt_temperature_interaction,0.003777777777777766,-0.0748888888888889,0.09622222222222222,0.03510512735834186,5
qwen35_4b,empathy_clinical,style_scalar_mae,prompt_temperature_interaction,0.012444444444444466,-0.0253333333333333,0.06466666666666668,0.20750705749393222,5
qwen35_9b,empathy_clinical,style_scalar_mae,prompt_temperature_interaction,-0.0033333333333333353,-0.034000000000000016,0.019111111111111113,-0.09474996627822985,5
