timestamp_utc,gpu_index,gpu_name,memory_used_mib,memory_total_mib,utilization_gpu_percent,temperature_c,power_draw_w
2026-09-15T12:27:49.931328Z,3,NVIDIA L20Z,70680,81559,0,36,127.64
2026-09-15T12:27:49.931328Z,4,NVIDIA L20Z,72262,81559,92,54,423.36
2026-09-15T12:27:49.931328Z,5,NVIDIA L20Z,71622,81559,64,62,426.17
2026-09-15T12:27:49.931328Z,6,NVIDIA L20Z,71302,81559,25,47,346.20
2026-09-15T12:27:49.931328Z,7,NVIDIA L20Z,70662,81559,74,52,298.96
2026-09-15T12:27:55.119287Z,0,NVIDIA L20Z,4,81559,0,33,70.08
2026-09-15T12:27:55.119287Z,1,NVIDIA L20Z,4,81559,0,30,69.95
2026-09-15T12:27:55.119287Z,2,NVIDIA L20Z,71320,81559,0,39,128.15
2026-09-15T12:27:55.119287Z,3,NVIDIA L20Z,70680,81559,0,36,127.62
2026-09-15T12:27:55.119287Z,4,NVIDIA L20Z,72262,81559,72,52,440.14
2026-09-15T12:27:55.119287Z,5,NVIDIA L20Z,71622,81559,43,62,380.08
2026-09-15T12:27:55.119287Z,6,NVIDIA L20Z,71302,81559,86,48,283.92
2026-09-15T12:27:55.119287Z,7,NVIDIA L20Z,70662,81559,49,50,260.33
2026-09-15T12:28:00.330495Z,0,NVIDIA L20Z,4,81559,0,33,110.23
2026-09-15T12:28:00.330495Z,1,NVIDIA L20Z,4,81559,1,31,91.45
2026-09-15T12:28:00.330495Z,2,NVIDIA L20Z,71320,81559,0,39,128.18
2026-09-15T12:28:00.330495Z,3,NVIDIA L20Z,70680,81559,0,36,127.54
2026-09-15T12:28:00.330495Z,4,NVIDIA L20Z,72262,81559,84,55,450.58
2026-09-15T12:28:00.330495Z,5,NVIDIA L20Z,71622,81559,32,63,396.82
2026-09-15T12:28:00.330495Z,6,NVIDIA L20Z,71302,81559,37,49,343.23
2026-09-15T12:28:00.330495Z,7,NVIDIA L20Z,70662,81559,42,52,270.79
2026-09-15T12:28:05.643880Z,0,NVIDIA L20Z,4,81559,0,33,70.08
2026-09-15T12:28:05.643880Z,1,NVIDIA L20Z,4,81559,0,30,69.92
2026-09-15T12:28:05.643880Z,2,NVIDIA L20Z,71320,81559,0,39,127.91
2026-09-15T12:28:05.643880Z,3,NVIDIA L20Z,70680,81559,0,36,127.55
2026-09-15T12:28:05.643880Z,4,NVIDIA L20Z,72262,81559,94,52,453.80
2026-09-15T12:28:05.643880Z,5,NVIDIA L20Z,71622,81559,94,62,461.54
2026-09-15T12:28:05.643880Z,6,NVIDIA L20Z,71302,81559,84,49,353.87
2026-09-15T12:28:05.643880Z,7,NVIDIA L20Z,70662,81559,25,52,312.49
2026-09-15T12:28:10.821524Z,0,NVIDIA L20Z,4,81559,0,33,70.11
2026-09-15T12:28:10.821524Z,1,NVIDIA L20Z,4,81559,0,30,69.90
2026-09-15T12:28:10.821524Z,2,NVIDIA L20Z,71320,81559,0,39,127.97
2026-09-15T12:28:10.821524Z,3,NVIDIA L20Z,70680,81559,0,36,127.52
2026-09-15T12:28:10.821524Z,4,NVIDIA L20Z,72262,81559,79,57,513.98
2026-09-15T12:28:10.821524Z,5,NVIDIA L20Z,71622,81559,48,62,380.68
2026-09-15T12:28:10.821524Z,6,NVIDIA L20Z,71302,81559,86,49,378.32
2026-09-15T12:28:10.821524Z,7,NVIDIA L20Z,70662,81559,83,52,305.01
2026-09-15T12:28:16.125944Z,0,NVIDIA L20Z,4,81559,0,33,70.04
2026-09-15T12:28:16.125944Z,1,NVIDIA L20Z,4,81559,0,30,69.87
2026-09-15T12:28:16.125944Z,2,NVIDIA L20Z,71320,81559,0,39,127.84
2026-09-15T12:28:16.125944Z,3,NVIDIA L20Z,70680,81559,0,36,127.52
2026-09-15T12:28:16.125944Z,4,NVIDIA L20Z,72262,81559,48,54,445.25
2026-09-15T12:28:16.125944Z,5,NVIDIA L20Z,71622,81559,60,62,373.88
2026-09-15T12:28:16.125944Z,6,NVIDIA L20Z,71302,81559,59,49,347.91
2026-09-15T12:28:16.125944Z,7,NVIDIA L20Z,70662,81559,40,51,263.69
2026-09-15T12:28:21.282545Z,0,NVIDIA L20Z,4,81559,0,33,70.06
