model_id,encoder_id,metric,estimate,ci_lower,ci_upper
qwen36_35b_a3b,bge_m3,trajectory_endpoint_pc1_abs_cosine,0.6926983232891466,0.6757738325506584,0.7099510938492364
qwen36_35b_a3b,bge_m3,trajectory_ordered_path_length_ratio,4.956827577895199,4.887563646061271,5.0300603727282756
qwen36_35b_a3b,bge_m3,trajectory_discrete_curvature_mean_degrees,117.40498615675612,117.11437500095782,117.6880415996277
qwen36_35b_a3b,bge_m3,trajectory_negative_local_slope_count,1.3791666666666669,1.328125,1.4291666666666667
qwen36_35b_a3b,multilingual_e5_large_instruct,trajectory_pca_pc1_explained_variance,0.41284676313345087,0.4073504838089689,0.4183459453649707
qwen36_35b_a3b,multilingual_e5_large_instruct,trajectory_endpoint_pc1_abs_cosine,0.7545235110785597,0.7402421092935277,0.7682700126293323
qwen36_35b_a3b,multilingual_e5_large_instruct,trajectory_ordered_path_length_ratio,4.610583416502176,4.548056336787867,4.674308070278334
qwen36_35b_a3b,multilingual_e5_large_instruct,trajectory_discrete_curvature_mean_degrees,116.6491119975055,116.34741188042537,116.94707599123626
qwen36_35b_a3b,multilingual_e5_large_instruct,trajectory_negative_local_slope_count,1.2947916666666668,1.246875,1.3427083333333334
qwen36_35b_a3b,text2vec_base_chinese,trajectory_pca_pc1_explained_variance,0.39770629549087955,0.3925557584940644,0.4028928588893851
qwen36_35b_a3b,text2vec_base_chinese,trajectory_endpoint_pc1_abs_cosine,0.7353542282243212,0.7212371273093782,0.749281694733719
qwen36_35b_a3b,text2vec_base_chinese,trajectory_ordered_path_length_ratio,4.754374563380319,4.692513765738433,4.816112794530996
qwen36_35b_a3b,text2vec_base_chinese,trajectory_discrete_curvature_mean_degrees,116.86255243814944,116.5811730351022,117.14293117450401
qwen36_35b_a3b,text2vec_base_chinese,trajectory_negative_local_slope_count,1.2489583333333334,1.203125,1.2947916666666666
