scope,style_axis,metric,effect,estimate,ci_lower,ci_upper,paired_effect_size_dz,scenario_count
qwen36_35b_a3b,politeness_refusal,style_scalar_mae,temperature_low_minus_high,-0.0125555555555555,-0.0418888888888889,0.0042222222222221,-0.3847233488828198,5
all_models,all,style_scalar_mae,prompt_temperature_interaction,0.0080805555555555,-0.0038764583333333,0.0199251041666666,0.1797303074366749,40
qwen35_4b,all,style_scalar_mae,prompt_temperature_interaction,0.0148611111111111,-0.0066111111111111,0.0363618055555555,0.1918989633575095,40
qwen35_9b,all,style_scalar_mae,prompt_temperature_interaction,0.0113055555555555,-0.0045833333333333,0.0282777777777777,0.1862203901694804,40
qwen36_27b,all,style_scalar_mae,prompt_temperature_interaction,0.0199611111111111,-0.0103786111111111,0.0495787499999999,0.1699803992572328,40
qwen36_35b_a3b,all,style_scalar_mae,prompt_temperature_interaction,-0.0138055555555555,-0.0301402777777777,0.002917361111111,-0.2220677524491771,40
qwen35_4b,concision_detail,style_scalar_mae,prompt_temperature_interaction,0.018,-0.0237777777777777,0.0766666666666667,0.2733345206600761,5
qwen35_9b,concision_detail,style_scalar_mae,prompt_temperature_interaction,0.0113333333333333,-0.0184444444444444,0.0417777777777777,0.2764643910277019,5
qwen36_27b,concision_detail,style_scalar_mae,prompt_temperature_interaction,-0.0103555555555555,-0.1087111111111111,0.088,-0.0825298832813769,5
qwen36_35b_a3b,concision_detail,style_scalar_mae,prompt_temperature_interaction,-0.0415555555555555,-0.0711111111111111,-0.0102222222222222,-1.0589760570594402,5
qwen35_4b,emotion_apology,style_scalar_mae,prompt_temperature_interaction,0.0184444444444444,-0.0564444444444444,0.0982222222222222,0.1847320292301,5
qwen35_9b,emotion_apology,style_scalar_mae,prompt_temperature_interaction,0.0464444444444444,0.0031111111111111,0.102,0.7055216590224431,5
qwen36_27b,emotion_apology,style_scalar_mae,prompt_temperature_interaction,0.1778222222222222,0.0956444444444444,0.26,1.623863177300389,5
qwen36_35b_a3b,emotion_apology,style_scalar_mae,prompt_temperature_interaction,0.0037777777777777,-0.0748888888888889,0.0962222222222222,0.0351051273583418,5
qwen35_4b,empathy_clinical,style_scalar_mae,prompt_temperature_interaction,0.0124444444444444,-0.0253333333333333,0.0646666666666666,0.2075070574939322,5
qwen35_9b,empathy_clinical,style_scalar_mae,prompt_temperature_interaction,-0.0033333333333333,-0.034,0.0191111111111111,-0.0947499662782298,5
qwen36_27b,empathy_clinical,style_scalar_mae,prompt_temperature_interaction,0.0332444444444444,-0.08,0.1490666666666666,0.2211729980099824,5
qwen36_35b_a3b,empathy_clinical,style_scalar_mae,prompt_temperature_interaction,-0.018,-0.0344444444444444,-0.0004444444444444,-0.7917052668259467,5
qwen35_4b,expertise_explain,style_scalar_mae,prompt_temperature_interaction,0.0851111111111111,0.0024444444444444,0.1677777777777777,0.8134541304756369,5
qwen35_9b,expertise_explain,style_scalar_mae,prompt_temperature_interaction,-0.0477777777777777,-0.0917777777777777,-0.0022222222222222,-0.8227499283667509,5
qwen36_27b,expertise_explain,style_scalar_mae,prompt_temperature_interaction,-0.0017777777777777,-0.0615555555555555,0.0591111111111111,-0.0223917523973455,5
qwen36_35b_a3b,expertise_explain,style_scalar_mae,prompt_temperature_interaction,0.0535555555555555,-0.0013333333333333,0.1135555555555555,0.7129054367222101,5
qwen35_4b,formality_request,style_scalar_mae,prompt_temperature_interaction,0.0351111111111111,0.0006666666666666,0.0773333333333333,0.7315677267593809,5
qwen35_9b,formality_request,style_scalar_mae,prompt_temperature_interaction,-0.0002222222222222,-0.0237777777777777,0.0306666666666666,-0.0060768101715582,5
qwen36_27b,formality_request,style_scalar_mae,prompt_temperature_interaction,-0.0363999999999999,-0.0848888888888888,0.0058666666666666,-0.6161435558020645,5
qwen36_35b_a3b,formality_request,style_scalar_mae,prompt_temperature_interaction,-0.0222222222222222,-0.0573333333333333,0.0128888888888888,-0.4951496274255769,5
qwen35_4b,humor_neutral,style_scalar_mae,prompt_temperature_interaction,-0.0106666666666666,-0.0524444444444444,0.0311111111111111,-0.1972246553591906,5
qwen35_9b,humor_neutral,style_scalar_mae,prompt_temperature_interaction,0.0182222222222222,-0.0182222222222222,0.0444444444444444,0.4448219294942896,5
qwen36_27b,humor_neutral,style_scalar_mae,prompt_temperature_interaction,-0.0024444444444444,-0.0384444444444444,0.0335555555555555,-0.0515447279348514,5
qwen36_35b_a3b,humor_neutral,style_scalar_mae,prompt_temperature_interaction,-0.0097777777777777,-0.0646666666666666,0.0428888888888889,-0.1398288216941444,5
qwen35_4b,objectivity_cat,style_scalar_mae,prompt_temperature_interaction,-0.028,-0.0915555555555555,0.024,-0.3813064401207516,5
qwen35_9b,objectivity_cat,style_scalar_mae,prompt_temperature_interaction,0.0422222222222222,-0.008,0.0924444444444444,0.6518384272923641,5
qwen36_27b,objectivity_cat,style_scalar_mae,prompt_temperature_interaction,0.0426222222222222,-0.0242666666666666,0.0986222222222222,0.5243271787144228,5
qwen36_35b_a3b,objectivity_cat,style_scalar_mae,prompt_temperature_interaction,-0.0422222222222222,-0.0771111111111111,-0.01,-0.9689590623444057,5
qwen35_4b,politeness_refusal,style_scalar_mae,prompt_temperature_interaction,-0.0115555555555555,-0.0917777777777777,0.0526666666666666,-0.126812295742262,5
qwen35_9b,politeness_refusal,style_scalar_mae,prompt_temperature_interaction,0.0235555555555555,-0.0366666666666666,0.1153333333333333,0.2318955805137184,5
qwen36_27b,politeness_refusal,style_scalar_mae,prompt_temperature_interaction,-0.0430222222222222,-0.1770666666666666,0.0657777777777778,-0.2889652660647828,5
