model_id,encoder_id,estimate,ci_lower,ci_upper,scenario_rows,metric
qwen36_35b_a3b,multilingual_e5_large_instruct,0.7227528939223651,0.7103012065548626,0.7357424495186279,320,endpoint_line_off_trajectory
qwen36_35b_a3b,text2vec_base_chinese,0.7467495411719018,0.7346940182033934,0.7590552588164386,320,endpoint_line_off_trajectory
qwen35_35b_a3b,bge_m3,0.7161286846382465,0.70462570921179,0.7273488032904893,320,empirical_centroid_off_trajectory
qwen35_35b_a3b,multilingual_e5_large_instruct,0.6576031665784393,0.6460543057425469,0.6692175467877438,320,empirical_centroid_off_trajectory
qwen35_35b_a3b,text2vec_base_chinese,0.6771843843014436,0.6668209134043511,0.6875833190645583,320,empirical_centroid_off_trajectory
qwen35_4b,bge_m3,0.8408734901738079,0.8279620777883782,0.8539946003521933,320,empirical_centroid_off_trajectory
qwen35_4b,multilingual_e5_large_instruct,0.7955056907869682,0.7823895190386597,0.8086565249343519,320,empirical_centroid_off_trajectory
qwen35_4b,text2vec_base_chinese,0.8119048044361434,0.7993147720165972,0.8246527710161323,320,empirical_centroid_off_trajectory
qwen35_9b,bge_m3,0.7542234720659008,0.7417601214465083,0.7661581716348683,320,empirical_centroid_off_trajectory
qwen35_9b,multilingual_e5_large_instruct,0.6814456427818267,0.6707074467646041,0.6923918787512466,320,empirical_centroid_off_trajectory
qwen35_9b,text2vec_base_chinese,0.7103905603431814,0.7000557026251454,0.7205464502817517,320,empirical_centroid_off_trajectory
qwen36_27b,bge_m3,0.731500108252876,0.7195002887063157,0.7433202287613866,320,empirical_centroid_off_trajectory
qwen36_27b,multilingual_e5_large_instruct,0.6585753733331987,0.6470904580000547,0.6703328517395593,320,empirical_centroid_off_trajectory
qwen36_27b,text2vec_base_chinese,0.6747304248029942,0.6637563001074516,0.6856009915647449,320,empirical_centroid_off_trajectory
qwen36_35b_a3b,bge_m3,0.7523496580139166,0.7387922218427411,0.7661292420501437,320,empirical_centroid_off_trajectory
qwen36_35b_a3b,multilingual_e5_large_instruct,0.6721266044504162,0.6609003194815342,0.683680425593079,320,empirical_centroid_off_trajectory
qwen36_35b_a3b,text2vec_base_chinese,0.7052422166904798,0.6941406488789279,0.7164164415857007,320,empirical_centroid_off_trajectory
qwen35_35b_a3b,bge_m3,0.6716481235751546,0.6607664752244802,0.6822865154695329,320,piecewise_off_trajectory
qwen35_35b_a3b,multilingual_e5_large_instruct,0.6154647510394116,0.604508364088807,0.6264906771192311,320,piecewise_off_trajectory
qwen35_35b_a3b,text2vec_base_chinese,0.6331575900117703,0.6233978899038288,0.6429096280656735,320,piecewise_off_trajectory
qwen35_4b,bge_m3,0.7907769880357922,0.7783985805973654,0.8031876631517826,320,piecewise_off_trajectory
qwen35_4b,multilingual_e5_large_instruct,0.7478391416355149,0.7354711063595254,0.7602937575894734,320,piecewise_off_trajectory
qwen35_4b,text2vec_base_chinese,0.7624126926360503,0.7504427385836276,0.7746243009399689,320,piecewise_off_trajectory
qwen35_9b,bge_m3,0.708778303468329,0.6969488270409857,0.7202430148955832,320,piecewise_off_trajectory
qwen35_9b,multilingual_e5_large_instruct,0.6388824385075302,0.6285121527627521,0.6493287086613123,320,piecewise_off_trajectory
qwen35_9b,text2vec_base_chinese,0.6656028612569094,0.6557137961789561,0.6753039925154931,320,piecewise_off_trajectory
qwen36_27b,bge_m3,0.6880415586628885,0.6766312575657291,0.6994304952453674,320,piecewise_off_trajectory
qwen36_27b,multilingual_e5_large_instruct,0.6189377275583766,0.608011651792339,0.6303251600661619,320,piecewise_off_trajectory
qwen36_27b,text2vec_base_chinese,0.6341728917007297,0.6237422839636803,0.6446685907838527,320,piecewise_off_trajectory
qwen36_35b_a3b,bge_m3,0.7070675811636452,0.6941145087735705,0.7203525544333379,320,piecewise_off_trajectory
qwen36_35b_a3b,multilingual_e5_large_instruct,0.6296204153791347,0.6187617408241866,0.6408469500133003,320,piecewise_off_trajectory
qwen36_35b_a3b,text2vec_base_chinese,0.6606562048910205,0.64997611217178,0.6713419826590085,320,piecewise_off_trajectory
