model_id,encoder_id,estimate,ci_lower,ci_upper,scenario_rows,metric
qwen35_4b,bge_m3,0.2857142857142853,0.2857142857142853,0.28571428571428537,320,relative_underestimate
qwen35_4b,multilingual_e5_large_instruct,0.2857142857142857,0.2857142857142857,0.28571428571428575,320,relative_underestimate
qwen35_4b,text2vec_base_chinese,0.2857142857142854,0.2857142857142854,0.2857142857142854,320,relative_underestimate
qwen35_9b,bge_m3,0.28571428571428525,0.2857142857142852,0.2857142857142853,320,relative_underestimate
qwen35_9b,multilingual_e5_large_instruct,0.2857142857142857,0.2857142857142857,0.2857142857142857,320,relative_underestimate
qwen35_9b,text2vec_base_chinese,0.2857142857142853,0.2857142857142853,0.28571428571428537,320,relative_underestimate
qwen36_27b,bge_m3,0.2857142857142853,0.2857142857142853,0.2857142857142854,320,relative_underestimate
qwen36_27b,multilingual_e5_large_instruct,0.2857142857142857,0.2857142857142857,0.2857142857142857,320,relative_underestimate
qwen36_27b,text2vec_base_chinese,0.2857142857142854,0.2857142857142854,0.2857142857142855,320,relative_underestimate
qwen36_35b_a3b,bge_m3,0.2857142857142853,0.28571428571428525,0.2857142857142853,320,relative_underestimate
qwen36_35b_a3b,multilingual_e5_large_instruct,0.2857142857142857,0.2857142857142857,0.2857142857142857,320,relative_underestimate
qwen36_35b_a3b,text2vec_base_chinese,0.2857142857142853,0.2857142857142853,0.28571428571428537,320,relative_underestimate
qwen35_35b_a3b,bge_m3,0.1856796887334458,0.1818425931357929,0.18969855013111436,320,mae_5_point_clipped
qwen35_35b_a3b,multilingual_e5_large_instruct,0.1863322609000456,0.181720056806258,0.19100426027446282,320,mae_5_point_clipped
qwen35_35b_a3b,text2vec_base_chinese,0.1754336933021971,0.17149761466346058,0.1794401007199791,320,mae_5_point_clipped
qwen35_4b,bge_m3,0.20882861753175383,0.20503004848768044,0.21269000600478527,320,mae_5_point_clipped
qwen35_4b,multilingual_e5_large_instruct,0.20191530294148716,0.1978132590280127,0.2060218653840922,320,mae_5_point_clipped
qwen35_4b,text2vec_base_chinese,0.19455284881399965,0.1903468428373422,0.19862972269276843,320,mae_5_point_clipped
qwen35_9b,bge_m3,0.16135687405663426,0.1577140649224678,0.1650975925894766,320,mae_5_point_clipped
qwen35_9b,multilingual_e5_large_instruct,0.15839348134495843,0.1543040681648956,0.16258514185675582,320,mae_5_point_clipped
qwen35_9b,text2vec_base_chinese,0.14843621819324743,0.14464256515201523,0.15230726160262975,320,mae_5_point_clipped
qwen36_27b,bge_m3,0.18961849171550083,0.18552572138782192,0.19382231884742157,320,mae_5_point_clipped
qwen36_27b,multilingual_e5_large_instruct,0.18945709291331733,0.18490541442651473,0.1940974633207565,320,mae_5_point_clipped
qwen36_27b,text2vec_base_chinese,0.18843177085389642,0.1840058662316008,0.19287514066260783,320,mae_5_point_clipped
qwen36_35b_a3b,bge_m3,0.1780390569073526,0.1741877510913723,0.18192400640133766,320,mae_5_point_clipped
qwen36_35b_a3b,multilingual_e5_large_instruct,0.17352372572742097,0.16930830622163784,0.17774595320920053,320,mae_5_point_clipped
qwen36_35b_a3b,text2vec_base_chinese,0.16635614454286,0.16221055932774656,0.17048055307636273,320,mae_5_point_clipped
qwen35_35b_a3b,bge_m3,7.636752569522105e-05,1.4342345572775171e-05,0.00015561346739000547,320,raw_minus_clipped
qwen35_35b_a3b,multilingual_e5_large_instruct,0.00015467232632808994,4.347137875960209e-05,0.0003007429693458751,320,raw_minus_clipped
qwen35_35b_a3b,text2vec_base_chinese,6.890010719927697e-05,1.0470541587079328e-05,0.00014727329732703301,320,raw_minus_clipped
qwen35_4b,bge_m3,2.918931421275559e-05,2.4034743821707385e-06,6.912565382046923e-05,320,raw_minus_clipped
qwen35_4b,multilingual_e5_large_instruct,0.00010211866655134259,2.411481468004522e-05,0.0002080140143247956,320,raw_minus_clipped
qwen35_4b,text2vec_base_chinese,9.001028531302581e-05,3.567633479987403e-05,0.00015699254304700605,320,raw_minus_clipped
qwen35_9b,bge_m3,1.765015097919655e-05,0.0,4.080933351183185e-05,320,raw_minus_clipped
qwen35_9b,multilingual_e5_large_instruct,1.9066194981357496e-05,2.060456289198782e-06,4.293420301899868e-05,320,raw_minus_clipped
qwen35_9b,text2vec_base_chinese,5.2213300796618126e-05,1.5817358667745553e-05,9.964904492284113e-05,320,raw_minus_clipped
qwen36_27b,bge_m3,3.542203612771372e-05,7.232684509866568e-07,8.800019702325471e-05,320,raw_minus_clipped
qwen36_27b,multilingual_e5_large_instruct,5.228628803087216e-05,1.3130563023317082e-05,0.00010591976605048907,320,raw_minus_clipped
qwen36_27b,text2vec_base_chinese,0.00010749181866467664,4.805623481987479e-05,0.00017686763199912354,320,raw_minus_clipped
qwen36_35b_a3b,bge_m3,0.00015789434833278328,1.1778609615643691e-05,0.00038815094095649477,320,raw_minus_clipped
qwen36_35b_a3b,multilingual_e5_large_instruct,0.00015353077347933183,7.36968072891766e-05,0.00024877171830842224,320,raw_minus_clipped
qwen36_35b_a3b,text2vec_base_chinese,0.00012360096734306643,4.828529257134546e-05,0.0002167867312536422,320,raw_minus_clipped
