model_id,encoder_id,method,statistic,estimate,ci_lower,ci_upper,scenario_count,incremental_cost,mean_llm_judge_latency_seconds,total_llm_judge_output_tokens_all_models,human_style_correlation,human_style_mae,human_validation_status
qwen35_35b_a3b,multilingual_e5_large_instruct,endpoint_distance_ratio,pearson,0.712796216765916,0.681062572206766,0.7432174430177232,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,multilingual_e5_large_instruct,endpoint_distance_ratio,calibration_slope,0.15756696242824977,0.1494731511333097,0.1654680680642099,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,multilingual_e5_large_instruct,endpoint_distance_ratio,calibration_intercept,0.42851514723902706,0.4227706912763911,0.4341919499647838,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,multilingual_e5_large_instruct,isotonic_grouped_cv,mae,0.1773191081715632,0.17496172222025608,0.17970093149732666,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,multilingual_e5_large_instruct,isotonic_grouped_cv,median_absolute_error,0.17092383116885368,0.1673397894178975,0.17448813626816478,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,multilingual_e5_large_instruct,isotonic_grouped_cv,spearman,0.6886953320348816,0.654206573965358,0.7209864136839335,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,multilingual_e5_large_instruct,isotonic_grouped_cv,pearson,0.6997806826575903,0.6687959088236306,0.7306048837740895,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,multilingual_e5_large_instruct,isotonic_grouped_cv,calibration_slope,0.19890008756807948,0.18830440982331362,0.2094282438897014,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,multilingual_e5_large_instruct,isotonic_grouped_cv,calibration_intercept,0.4007203729037553,0.3934331877488017,0.4082423616849499,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,multilingual_e5_large_instruct,length_only_grouped_cv,mae,0.20172997239342685,0.20118225323013075,0.2023153660044724,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,multilingual_e5_large_instruct,length_only_grouped_cv,median_absolute_error,0.17156576425058528,0.17051897749576586,0.1727334624623821,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,multilingual_e5_large_instruct,length_only_grouped_cv,spearman,0.044374999999999984,-0.013757812499999994,0.10437499999999997,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,multilingual_e5_large_instruct,length_only_grouped_cv,pearson,0.028368142045634048,-0.029300527344179112,0.08704763011549987,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,multilingual_e5_large_instruct,length_only_grouped_cv,calibration_slope,-0.00041220772848387066,-0.0024701601356328746,0.0017660089159689985,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,multilingual_e5_large_instruct,length_only_grouped_cv,calibration_intercept,0.5004924914528274,0.49876509900935384,0.5022431576650943,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,multilingual_e5_large_instruct,raw_projection,mae,0.18648693322637366,0.18198047686591995,0.19114755214486776,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,multilingual_e5_large_instruct,raw_projection,median_absolute_error,0.174462078465335,0.1691935180450891,0.1798836608443918,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,multilingual_e5_large_instruct,raw_projection,spearman,0.6959374999999999,0.6628124999999999,0.7293749999999999,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,multilingual_e5_large_instruct,raw_projection,pearson,0.7085664080310163,0.6775391300528071,0.739177028297964,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,multilingual_e5_large_instruct,raw_projection,calibration_slope,0.3894966640480897,0.3693978778713168,0.4098050821630301,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,multilingual_e5_large_instruct,raw_projection,calibration_intercept,0.31773978118029256,0.30327831100134905,0.33223701666369454,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,text2vec_base_chinese,constant_0.5,mae,0.19999999999999998,0.2,0.2,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,text2vec_base_chinese,constant_0.5,median_absolute_error,0.16666666666666669,0.16666666666666663,0.16666666666666663,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,text2vec_base_chinese,constant_0.5,spearman,,,,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,text2vec_base_chinese,constant_0.5,pearson,,,,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,text2vec_base_chinese,constant_0.5,calibration_slope,3.2878958044297755e-17,3.287895804429775e-17,3.287895804429775e-17,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,text2vec_base_chinese,constant_0.5,calibration_intercept,0.5,0.5,0.5,320,deterministic local computation,,0,,,external_pending
qwen35_35b_a3b,text2vec_base_chinese,endpoint_distance_ratio,mae,0.1787035830435935,0.17705297990555413,0.18033892677677066,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,text2vec_base_chinese,endpoint_distance_ratio,median_absolute_error,0.17155139184904175,0.1684096122546067,0.17464518035409518,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,text2vec_base_chinese,endpoint_distance_ratio,spearman,0.6984374999999998,0.6662499999999999,0.7299999999999999,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,text2vec_base_chinese,endpoint_distance_ratio,pearson,0.715803251715816,0.6862656147335452,0.7448142059654037,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,text2vec_base_chinese,endpoint_distance_ratio,calibration_slope,0.15398428397901337,0.14621211545280147,0.1616386798859863,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,text2vec_base_chinese,endpoint_distance_ratio,calibration_intercept,0.42646961954632856,0.4211950296661911,0.4318106002850016,320,sentence-encoder inference; no LLM request,,0,,,external_pending
qwen35_35b_a3b,text2vec_base_chinese,isotonic_grouped_cv,mae,0.17239876226269252,0.16988111820150867,0.1748955005782253,320,sentence-encoder inference; no LLM request,,0,,,external_pending
